timestamps,no_of_customer,mask_count,no_mask_count
2020-12-05 17:13:43,1,0,1
2020-12-05 17:14:11,2,1,0
2020-12-05 17:14:45,3,1,0
2020-12-05 17:15:17,4,1,0
2020-12-05 17:15:37,5,1,0
2020-12-05 17:16:29,6,1,0
2020-12-05 17:16:41,7,1,0
2020-12-05 17:14:27,1,0,1
2020-12-05 17:14:34,2,0,1
2020-12-05 17:14:54,3,0,1
2020-12-05 17:19:49,4,0,1
2020-12-05 17:21:04,5,1,0
2020-12-05 17:21:31,6,1,0
2020-12-05 17:21:40,7,1,0
2020-12-05 17:21:44,8,1,0
2020-12-05 17:22:10,9,1,0
2020-12-05 17:22:15,10,0,1
2020-12-05 17:22:22,11,0,1
2020-12-05 17:22:39,12,1,0
2020-12-05 17:22:45,13,1,0
2020-12-05 17:22:52,14,1,0
2020-12-05 17:22:59,15,1,0
2020-12-05 17:23:03,16,1,0
2020-12-05 17:23:31,17,1,0
2020-12-05 17:26:52,18,1,0
2020-12-05 17:27:57,19,1,0
2020-12-05 17:31:26,20,0,1
2020-12-05 17:31:59,21,0,1
2020-12-05 17:32:20,22,0,1
2020-12-05 17:32:32,23,0,1
2020-12-05 17:32:51,24,0,1
2020-12-05 17:33:01,25,0,1
2020-12-05 17:33:16,26,0,1
2020-12-05 17:33:28,27,0,1
2020-12-05 17:39:50,28,0,1
2020-12-05 17:42:16,29,0,1
2020-12-05 17:42:44,30,1,0
2020-12-05 17:43:29,31,0,1
2020-12-05 17:43:59,32,0,1
2020-12-05 17:44:05,33,0,1
2020-12-05 17:44:29,34,0,1
2020-12-05 17:44:48,35,1,0
2020-12-05 17:45:03,36,0,1
2020-12-05 17:48:31,37,0,1
2020-12-05 17:48:58,38,0,1
2020-12-05 17:49:05,39,0,1
2020-12-05 17:49:19,40,0,1
2020-12-05 17:49:34,41,0,1
2020-12-05 17:49:43,42,1,0
2020-12-05 17:50:11,43,1,0
2020-12-05 17:50:16,44,0,1
2020-12-05 17:50:22,45,0,1
2020-12-05 17:50:31,46,0,1
2020-12-05 17:50:39,47,0,1
2020-12-05 17:50:56,48,1,0
2020-12-05 17:51:06,49,1,0
2020-12-05 17:55:08,50,1,0
2020-12-05 17:55:35,51,1,0
2020-12-05 17:55:46,52,0,1
2020-12-05 17:57:27,53,0,1
2020-12-05 18:02:40,54,1,0
2020-12-05 18:03:44,55,0,1
2020-12-05 18:03:53,56,0,1
2020-12-05 18:04:07,57,0,1
2020-12-05 18:04:25,58,0,1
2020-12-05 18:04:34,59,1,0
2020-12-05 18:06:14,60,1,0
2020-12-05 18:06:30,61,0,1
2020-12-05 18:06:34,62,0,1
2020-12-05 18:06:46,63,0,1
2020-12-05 18:06:59,64,0,1
2020-12-05 18:07:24,65,0,1
2020-12-05 18:07:30,66,0,1
2020-12-05 18:07:36,67,1,0
2020-12-05 18:07:40,68,1,0
2020-12-05 18:08:38,69,1,0
2020-12-05 18:09:06,70,1,0
2020-12-05 18:09:11,71,0,1
2020-12-05 18:15:49,72,0,1
2020-12-05 18:17:28,73,0,1
2020-12-05 18:22:46,74,0,1
2020-12-05 18:23:24,75,0,1
2020-12-05 18:25:05,76,1,0
2020-12-05 18:25:19,77,0,1
2020-12-05 18:25:52,78,1,0
2020-12-05 18:26:14,79,0,1
2020-12-05 18:26:36,80,0,1
2020-12-05 18:26:43,81,0,1
2020-12-05 18:31:29,82,1,0
2020-12-05 18:32:49,83,1,0
2020-12-05 18:33:03,84,0,1
2020-12-05 18:35:51,85,0,1
2020-12-05 18:35:58,86,0,1
2020-12-05 18:36:08,87,0,1
2020-12-05 18:36:21,88,0,1
2020-12-05 18:36:27,89,0,1
2020-12-05 18:36:55,90,0,1
2020-12-05 18:37:05,91,0,1
2020-12-05 18:37:30,92,0,1
2020-12-05 18:37:47,93,1,0
2020-12-05 18:37:52,94,0,1
2020-12-05 18:39:36,95,1,0
2020-12-05 18:39:47,96,1,0
2020-12-05 18:47:15,97,1,0
2020-12-05 18:47:21,98,0,1
2020-12-05 18:47:24,99,0,1
2020-12-05 18:51:54,100,0,1
2020-12-05 19:12:34,101,0,1
2020-12-05 19:13:52,102,0,1
2020-12-05 19:13:57,103,0,1
2020-12-05 19:14:22,104,0,1
2020-12-05 19:17:33,105,0,1
2020-12-05 19:17:41,106,0,1
2020-12-05 19:17:55,107,0,1
2020-12-05 19:18:00,108,0,1
2020-12-05 17:26:49,1,0,1
2020-12-05 17:27:47,2,0,1
2020-12-05 17:59:33,3,0,1
2020-12-05 17:59:52,4,0,1
2020-12-05 17:59:58,5,0,1
2020-12-05 18:00:08,6,0,1
2020-12-05 18:00:25,7,0,1
2020-12-05 18:14:46,8,0,1
2020-12-05 18:23:28,9,0,1
2020-12-05 18:27:45,10,0,1
2020-12-05 18:28:03,11,0,1
2020-12-05 18:28:10,12,1,0
2020-12-05 18:29:46,13,1,0
2020-12-05 18:42:19,14,1,0
2020-12-05 18:42:23,15,0,1
2020-12-05 18:42:30,16,0,1
2020-12-05 17:14:22,1,0,1
2020-12-05 17:15:21,2,0,1
2020-12-05 17:15:42,3,0,1
2020-12-05 17:15:59,4,0,1
2020-12-05 17:16:08,5,0,1
2020-12-05 17:16:16,6,1,0
2020-12-05 17:16:33,7,0,1
2020-12-05 17:16:44,8,0,1
2020-12-05 17:17:02,9,0,1
2020-12-05 17:17:11,10,1,0
2020-12-05 17:17:21,11,1,0
2020-12-05 17:18:30,12,1,0
2020-12-05 17:19:49,13,1,0
2020-12-05 17:20:39,14,0,1
2020-12-05 17:20:57,15,0,1
2020-12-05 17:21:10,16,0,1
2020-12-05 17:21:39,17,0,1
2020-12-05 17:22:26,18,0,1
2020-12-05 17:22:50,19,0,1
2020-12-05 17:23:10,20,0,1
2020-12-05 17:23:22,21,0,1
2020-12-05 17:23:42,22,0,1
2020-12-05 17:24:04,23,0,1
2020-12-05 17:24:09,24,0,1
2020-12-05 17:24:20,25,0,1
2020-12-05 17:24:52,26,0,1
2020-12-05 17:25:26,27,0,1
2020-12-05 17:25:33,28,0,1
2020-12-05 17:25:49,29,0,1
2020-12-05 17:26:10,30,0,1
2020-12-05 17:26:24,31,0,1
2020-12-05 17:26:31,32,0,1
2020-12-05 17:26:38,33,0,1
2020-12-05 17:32:33,34,0,1
2020-12-05 17:32:44,35,0,1
2020-12-05 17:32:52,36,0,1
2020-12-05 17:33:08,37,1,0
2020-12-05 17:33:19,38,1,0
2020-12-05 17:33:28,39,1,0
2020-12-05 17:33:58,40,0,1
2020-12-05 17:34:21,41,0,1
2020-12-05 17:34:52,42,0,1
2020-12-05 17:35:41,43,0,1
2020-12-05 17:35:51,44,0,1
2020-12-05 17:42:25,45,0,1
2020-12-05 17:42:36,46,0,1
2020-12-05 17:43:20,47,0,1
2020-12-05 17:43:40,48,0,1
2020-12-05 17:43:46,49,0,1
2020-12-05 17:45:49,50,0,1
2020-12-05 17:13:57,1,0,1
2020-12-05 17:14:10,2,0,1
2020-12-05 17:14:16,3,1,0
2020-12-05 17:14:45,4,0,1
2020-12-05 17:15:30,5,1,0
2020-12-05 17:20:19,6,1,0
2020-12-05 17:23:22,7,0,1
2020-12-05 17:23:44,8,0,1
2020-12-05 17:23:48,9,0,1
2020-12-05 17:46:15,10,0,1
2020-12-05 18:45:23,11,0,1
2020-12-05 18:45:26,12,0,1
2020-12-05 18:52:06,13,0,1
2020-12-05 18:52:09,14,0,1
2020-12-05 18:52:29,15,1,0
2020-12-05 18:52:50,16,1,0
2020-12-05 19:13:12,17,0,1
2020-12-05 19:22:54,18,0,1
2020-12-05 19:23:02,19,1,0
2020-12-05 19:25:43,20,1,0
2020-12-05 19:25:48,21,0,1
2020-12-05 17:14:11,1,0,1
2020-12-05 17:14:22,2,0,1
2020-12-05 17:14:31,3,0,1
2020-12-05 17:14:34,4,0,1