timestamps,temperature
2020-09-22 02:23:41,40.69
2020-09-22 02:47:46,40.75
2020-09-22 02:49:30,37.18
2020-09-22 03:07:07,42.38
2020-09-22 07:39:37,43.77
2020-09-22 07:39:52,37.28
2020-09-22 07:42:17,44.2
2020-09-22 07:42:46,40.32
2020-09-22 07:43:35,40.03
2020-09-22 07:54:12,51.98
2020-09-22 07:54:18,47.48
2020-09-22 07:54:45,37.9
2020-09-22 07:55:00,40.75
2020-09-22 08:02:56,37.12
2020-09-22 08:12:56,41.04
2020-09-22 08:13:02,53.21
2020-09-22 08:13:59,37.57
2020-09-22 08:14:08,57.76
2020-09-22 08:15:03,52.4
2020-09-22 08:15:14,47.9
2020-09-22 08:15:24,38.53
2020-09-22 08:18:05,38.59
2020-09-22 08:19:07,37.54
2020-09-22 09:36:44,53.66
2020-09-22 09:36:54,46.04
2020-09-22 09:37:08,72.34
2020-09-22 09:37:42,44.27
2020-09-22 09:47:05,51.68
2020-09-22 09:47:22,58.76
2020-09-22 09:47:33,46.48
2020-09-22 09:47:44,46.74
2020-09-22 09:47:56,42.56
2020-09-22 09:48:20,43.97
2020-09-22 09:48:55,37.04
2020-09-22 09:49:19,37.71
2020-09-22 09:49:27,41.6
2020-09-22 09:49:44,42.64
2020-09-22 18:58:15,37.44
2020-09-22 18:58:36,38.9
2020-09-22 19:14:54,40.04
2020-09-22 19:14:58,39.72
2020-09-22 19:15:17,40.66
2020-09-22 19:16:22,37.6
2020-09-22 19:16:33,57.64
2020-09-22 19:16:39,39.84
2020-09-22 19:16:51,38.02
2020-09-22 19:25:53,41.74
2020-09-22 19:26:10,39.55
2020-09-22 19:26:24,112.0
2020-09-22 19:45:01,37.35
2020-09-22 19:45:58,37.86
2020-09-22 19:46:28,46.42
2020-09-22 19:51:22,38.95
2020-09-22 19:57:36,57.15
2020-09-22 19:58:13,61.57
2020-09-22 19:59:30,37.99
2020-09-22 20:01:29,40.53
2020-09-22 20:04:07,38.08
2020-09-22 20:04:25,37.76
2020-09-22 20:04:42,38.66
2020-09-22 20:06:13,37.36
2020-09-22 20:06:27,38.96
2020-09-22 20:08:39,44.96
2020-09-22 20:09:08,59.83
2020-09-22 20:09:22,60.22
2020-09-22 20:11:21,42.7
2020-09-22 20:46:50,38.23
2020-09-22 20:48:27,50.45
2020-09-22 20:48:50,52.86
2020-09-22 20:50:58,40.98
2020-09-22 20:51:23,37.55
2020-09-22 20:55:23,38.64
2020-09-22 20:55:37,40.23
2020-09-22 20:56:34,37.08
2020-09-22 21:00:30,37.63
2020-09-22 21:17:20,37.56
2020-09-22 21:17:37,38.84
2020-09-22 21:18:55,44.92
2020-09-22 21:20:44,46.0
2020-09-22 21:21:18,38.47
2020-09-22 21:21:35,43.8
2020-09-22 21:22:40,57.6
2020-09-22 21:22:52,39.46
2020-09-22 21:23:18,37.76
2020-09-22 21:23:24,80.46
2020-09-22 21:31:30,48.06
2020-09-22 21:32:08,42.39
2020-09-22 21:32:15,44.22
2020-09-22 21:33:12,44.12
2020-09-22 21:33:52,56.12
2020-09-22 22:18:57,52.92
2020-09-22 22:19:03,38.02
2020-09-22 22:19:15,54.25
2020-09-22 22:19:34,41.27
2020-09-22 22:19:39,44.76
2020-09-22 22:19:44,51.18
2020-09-22 22:20:13,64.39
2020-09-22 22:55:24,37.75
2020-09-22 22:55:39,37.98
2020-09-22 22:56:31,38.38
2020-09-22 23:26:25,37.54
2020-09-22 23:26:47,37.32